Execution_RealTime,symbol,Type,lots,OpenTime,Close Time,Open Price,Close Price,Profit_JPY,Pips,S/L,T/P
2025-12-27 12:14:14,USDJPY,BUY,0.43,2016-05-19 09:00:00,2016-05-19 14:00:00,1.12257,1.1210243687811963,-9969.0,-15.5,1.1210243687811963,0
2025-12-27 12:14:14,USDJPY,BUY,0.26,2016-05-19 17:00:00,2016-05-19 20:00:00,1.12254,1.1199530663364181,-10089.0,-25.9,1.1199530663364181,0
2025-12-27 12:14:14,USDJPY,BUY,0.25,2016-05-20 05:00:00,2016-05-24 16:00:00,1.12024,1.1175912142857138,-9933.0,-26.5,1.1175912142857138,0
2025-12-27 12:14:14,USDJPY,BUY,0.16,2016-05-26 09:00:00,2016-05-27 23:00:00,1.11703,1.1127387658316237,-10299.0,-42.9,1.1127387658316237,0
2025-12-27 12:20:21,USDJPY,BUY,0.59,2012-09-12 09:00:00,2012-09-12 17:00:00,1.28522,1.2840960714285714,-9947.0,-11.2,1.2840960714285714,0
2025-12-27 12:20:21,USDJPY,BUY,0.25,2012-09-13 02:00:00,2012-09-17 07:00:00,1.28974,1.31156,81825.0,218.2,1.2870496095238093,0
2025-12-27 12:20:21,USDJPY,BUY,0.17,2012-09-18 05:00:00,2012-09-18 16:00:00,1.31167,1.3077862428571427,-9904.0,-38.8,1.3077862428571427,0
2025-12-27 12:20:21,USDJPY,BUY,0.3,2012-09-19 08:00:00,2012-09-19 18:00:00,1.30461,1.3023704714285715,-10078.0,-22.4,1.3023704714285715,0
2025-12-27 12:20:21,USDJPY,BUY,0.09,2012-09-19 23:00:00,2012-09-20 14:00:00,1.3057,1.2986360142857145,-9536.0,-70.6,1.2986360142857145,0
2025-12-27 12:20:21,USDJPY,BUY,0.21,2012-09-21 02:00:00,2012-09-22 03:00:00,1.29492,1.29898,12789.0,40.6,1.2917162095238095,0
2025-12-27 12:20:21,USDJPY,BUY,0.22,2012-09-25 01:00:00,2012-09-26 03:00:00,1.29142,1.29268,4158.0,12.6,1.288367642857143,0
2025-12-27 12:20:21,USDJPY,BUY,0.22,2012-09-27 03:00:00,2012-09-28 07:00:00,1.28592,1.29102,16830.0,51.0,1.282939727163927,0
2025-12-27 12:20:21,USDJPY,BUY,0.22,2012-09-29 05:00:00,2012-10-01 08:00:00,1.28591,1.282815519331549,-10212.0,-30.9,1.282815519331549,0
2025-12-27 12:20:21,USDJPY,BUY,0.4,2012-10-02 07:00:00,2012-10-03 06:00:00,1.28898,1.29166,16080.0,26.8,1.2872942380952381,0
2025-12-27 12:20:21,USDJPY,BUY,0.18,2012-10-04 00:00:00,2012-10-05 08:00:00,1.29085,1.30126,28107.0,104.1,1.2872412285714285,0
2025-12-27 13:12:46,USDJPY,SELL,0.09,2009-01-22 14:00:00,2009-01-24 01:00:00,1.3019,1.28485,23018.0,170.5,1.3093095238095238,0
2025-12-27 13:12:46,USDJPY,SELL,0.06,2009-01-26 14:00:00,2009-01-26 22:00:00,1.2921,1.3042211904761905,-10909.0,-121.2,1.3042211904761905,0
2025-12-27 13:12:46,USDJPY,SELL,0.1,2009-01-27 15:00:00,2009-01-27 16:00:00,1.31955,1.3260806190476189,-9796.0,-65.3,1.3260806190476189,0
2025-12-27 13:12:46,USDJPY,SELL,0.05,2009-01-27 23:00:00,2009-02-02 20:00:00,1.3199,1.27889,30757.0,410.1,1.334072238095238,0
2025-12-27 13:12:46,USDJPY,SELL,0.08,2009-02-03 07:00:00,2009-02-03 12:00:00,1.28145,1.2902347857142857,-10542.0,-87.8,1.2902347857142857,0
2025-12-27 13:12:46,USDJPY,SELL,0.09,2009-02-03 17:00:00,2009-02-03 23:00:00,1.28425,1.2918974523809523,-10324.0,-76.5,1.2918974523809523,0
2025-12-27 13:12:46,USDJPY,SELL,0.03,2009-02-05 01:00:00,2009-02-09 23:00:00,1.2855,1.3082865952380953,-10254.0,-227.9,1.3082865952380953,0
2025-12-27 13:12:46,USDJPY,SELL,0.03,2009-02-11 09:00:00,2009-02-13 05:00:00,1.2881,1.28535,1238.0,27.5,1.307510714285714,0
2025-12-28 04:49:58,USDJPY,BUY,0.31,2012-04-05 00:00:00,2012-04-05 18:00:00,1.31274,1.3106111571428571,-9899.0,-21.288428571428764,1.3106111571428571,0
2025-12-28 04:49:58,USDJPY,BUY,0.17,2012-04-06 10:00:00,2012-04-16 09:00:00,1.30672,1.3028336373129255,-9910.0,-38.863626870746515,1.3028336373129255,0
2025-12-28 04:49:58,USDJPY,BUY,0.19,2012-04-16 18:00:00,2012-05-07 07:00:00,1.30282,1.2992592880612248,-10148.0,-35.60711938775274,1.2992592880612248,0
2025-12-28 04:49:58,USDJPY,SELL,0.41,2012-05-08 05:00:00,2012-05-10 07:00:00,1.305,1.2936,70110.0,113.99999999999854,1.3066324219387755,0
2025-12-28 04:49:58,USDJPY,SELL,0.3,2012-05-11 02:00:00,2012-05-11 17:00:00,1.29567,1.29414,6885.0,15.300000000000313,1.2978563952380953,0
